camis,restaurant,cuisine,building,street,borough,zip,phone,inspected,inspection_type,violation_code,violation,critical,action,score,grade
41238372,NEW MALAYSIA RESTAURANT,Asian/Asian Fusion,135-17,40 ROAD,Queens,11354,7183532901,2026-09-14,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,22,Z
41685457,JIN FENG FISH BALL,Chinese,41-40,MAIN STREET,Queens,11355,7188646288,2026-09-14,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,34,
50000071,GEORGIA DINER,American,80-26,QUEENS BOULEVARD,Queens,11373,7186519000,2026-09-14,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,41,
50000983,SABROSURA 2 RESTAURANT,Chinese/Cuban,1806,WESTCHESTER AVENUE,Bronx,10472,7185029878,2026-09-14,Cycle Inspection / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,9,A
50010986,PONTY BISTRO,French,144,W 139TH ST,Manhattan,10030,2122346474,2026-09-14,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,23,Z
50016847,SAN GENNARO,Italian,2329,ARTHUR AVENUE,Bronx,10458,7185620129,2026-09-14,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,11,A
50033660,RUSTY'S FLAVOR,Caribbean,2261,ADAM CLAYTON POWELL JR BOULEVARD,Manhattan,,2123683403,2026-09-14,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,26,Z
50041299,TAL BAGELS,Bagels/Pretzels,357,1 AVENUE,Manhattan,10010,2123878100,2026-09-14,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,20,
50063168,FLOATING MOUNTAIN,Coffee/Tea,239,WEST 72 STREET,Manhattan,10023,6468526555,2026-09-14,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,38,
50071607,NEW CITY ASIAN CUISINE,Chinese,236,KNICKERBOCKER AVENUE,Brooklyn,11237,7184178333,2026-09-14,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,29,
50089387,ESS-A-BAGEL,Bagels/Pretzels,108,WEST 32 STREET,Manhattan,10001,9177814040,2026-09-14,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,31,
50092271,CJ'S CAFE,Caribbean,875,FLATBUSH AVENUE,Brooklyn,11226,3474421400,2026-09-14,Cycle Inspection / Reopening Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Establishment re-closed by DOHMH.,10,
50116310,JOSE LUIS LITTLE ITALY,Italian,115,MULBERRY STREET,Manhattan,10013,3477542168,2026-09-14,Cycle Inspection / Re-inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,21,Z
50121427,PHO HOANG,Asian/Asian Fusion,41-01,KISSENA BOULEVARD,Queens,11355,7187089993,2026-09-14,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,40,
50130609,THAI TAI EATERY,Thai,59-61,69 STREET,Queens,11378,7182551781,2026-09-14,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,51,
50132104,TINOS,Greek,1748,1 AVENUE,Manhattan,10128,9174850229,2026-09-14,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,28,
50139379,COFFEE MONSTER,Bakery Products/Desserts,149-40,41 AVENUE,Queens,11355,5162071111,2026-09-14,Cycle Inspection / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,20,Z
50142599,CHIPOTLE MEXICAN GRILL #3056,Tex-Mex,59-01,MAURICE AVENUE,Queens,11378,6143187413,2026-09-14,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50145948,PHO AMSTERDAM,Soups/Salads/Sandwiches,1262,AMSTERDAM AVENUE,Manhattan,10027,6469644801,2026-09-14,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,11,A
50147219,HOME2 SUITES BY HILTON,American,39-06,30 STREET,Queens,11101,7187066262,2026-09-14,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,12,A
50147372,VAN LEEUWEN ICE CREAM,Frozen Desserts,2578,BROADWAY,Manhattan,10025,7187011630,2026-09-14,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,22,
50151034,DONG WON SUSHI & TUNA,Korean,41-19,162 STREET,Queens,11358,6467705057,2026-09-14,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50157333,HEYTEA,Coffee/Tea,1293,BROADWAY,Manhattan,10001,8023551207,2026-09-14,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,25,
50166255,CREAM N' DIP,Frozen Desserts,36-18,BROADWAY,Queens,11106,6467509421,2026-09-14,Pre-permit (Operational) / Re-inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,35,Z
50167082,MAZAJI,Middle Eastern,7323,3 AVENUE,Brooklyn,11209,3474920114,2026-09-14,Pre-permit (Operational) / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,34,N
50182979,GOLDEN CORNER,Chinese,45-55,VAN DAM ST,Queens,11101,3478088868,2026-09-14,Pre-permit (Operational) / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,11,A
50189950,DIM SUM PALACE,Chinese,27,DIVISION STREET,Manhattan,10002,7186979925,2026-09-14,Pre-permit (Operational) / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,33,N
50190743,STREET TACOS,Mexican,2102,AMSTERDAM AVE,Manhattan,10032,2014569983,2026-09-14,Pre-permit (Non-operational) / Re-inspection,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,39,N
